Tên bài hát,Album,Lượt yêu thích,Lượt nghe,Nghệ sĩ,Sáng tác,Thể loại,Nhà cung cấp
Thousand Years,Our Acoustic Life (Single),,,Double Chick,,"Âu Mỹ, Pop, R&B / Soul",RouteNote
One Last Time,One Last Time (Cover) (Single),,,Iris Noëlle,"Giorgio Tuinfort, Rami Yacoub, Carl Falk, Savan Kotecha, David Guetta","Âu Mỹ, Pop",FUGA
Say You Won't Let Go,Say You Won't Let Go (Single),,,Travis Atreo,"James Arthur, Steve Solomon, NEIL RICHARD ORMANDY","Âu Mỹ, Pop",Ingrooves Music Group
Flashlight,Flashlight (Single),,,Travis Atreo,"Mario Mejia, Jason Moore, CHRISTIAN NICOLAS GUZMAN, Sia Kate Furler, Samuel Frederick Smith","Âu Mỹ, Pop",Ingrooves Music Group
Busy Woman,Short n' Sweet (Deluxe),,,Sabrina Carpenter,,"Âu Mỹ, Pop",Universal Music Group
Snowman (Sped Up),Snowman (Sped Up) (Single),,,TikTok Mania,"Greg Kurstin, Sia","Âu Mỹ, Pop",Ingrooves Music Group
We Don't Talk Anymore,We Don't Talk Anymore (Single),,,Travis Atreo,"Charlie Puth, Selena Gomex, Jacob Hindlin","Âu Mỹ, Pop",Ingrooves Music Group
One Call Away,One Call Away (Single),,,Travis Atreo,"Charlie Puth, Shy Carter, Breyon Prescott, Matt Prime, DJ Frane","Âu Mỹ, Pop",Ingrooves Music Group
Walkin On Water,HOP,,,Stray Kids,"Bang Chan (3RACHA), CHANGBIN (3RACHA), HAN (3RACHA), Restart, Chae Ganghae","Âu Mỹ, Pop",Ingrooves Music Group
I Think They Call This Love,I Think They Call This Love (Single),,,Elliot James Reay,,"Âu Mỹ, Pop",Universal Music Group
Maybe My Soulmate Died,,,,iamnotshane,"Shane Niemi, Alexander Dana Tirheimer","Âu Mỹ, Pop",FUGA
My Stupid Heart (8D Audio),My Stupid Heart (8D Audio) (Single),,,8D Labs,"Jake Torrey, Michael Matosic, Peter John Rees Rycroft","Âu Mỹ, Pop",Ingrooves Music Group
Someone You Loved,Someone You Loved (Single),,,Isaac Wright,,"Âu Mỹ, Pop",RouteNote
Do It Like That,Do It Like That (Single),,,"TOMORROW X TOGETHER, Jonas Brothers","Grant Boutin, Ryan Tedder, Coleton Rubin","Âu Mỹ, Pop",Ingrooves Music Group
Love Myself,Love Myself (Single),,,Travis Atreo,"Hailee Steinfeld, Mattias Larsson, Justin Tranter, Oscar Holter, Robin Fredriksson","Âu Mỹ, Pop",Ingrooves Music Group
Pretty In The Dark,Pretty In The Dark (Single),,,"Ashley Sienna, Ellise",,"Âu Mỹ, Pop",Ingrooves Music Group
Daylight,Daylight (Single),,,David Kushner,"Hayden Robert Hubers, David Kushner","Âu Mỹ, Pop",Ingrooves Music Group
Railway (Bang Chan),HOP,,,Stray Kids,"Bang Chan (3RACHA), Versachoi","Âu Mỹ, Pop",Ingrooves Music Group
Please Please Please,,,,Sabrina Carpenter,,"Âu Mỹ, Pop",Universal Music Group
Love Is A Stillness,Love Is A Stillness (Single),,,Sam Smith,,"Âu Mỹ, Pop",Universal Music Group
Bite Marks,Bite Marks (Single),,,"League Of Legends, Teya","Alex Seaver, Sebastien Najand","Âu Mỹ, Pop",FUGA
Hermionong,Hermionong (Single),,,TheChanisara,Achariya Dulyapaiboon,"Âu Mỹ, Pop",Believe
These Tears,These Tears (Single),,,Andy Grammer,,"Âu Mỹ, Pop",Universal Music Group
Trường An Cô Nương,Tự Nhiên,430,40K,Lee Phú Quý,Lee Phú Quý,"Âu Mỹ, Pop, Nhạc Phim",RouteNote
Flowers,Flowers (Single),,,Miley Cyrus,"Miley Cyrus, Michael Pollack, Gregory Aldae Hein","Âu Mỹ, Pop",Sony Music Entertainment
Shake It Off (Taylor's Version),1989 (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Pop",Universal Music Group
Lost Umbrella,Lost Umbrella (Single),,,Blazed,"Inaba Kumori, Kaayi Yuki","Âu Mỹ, Pop, Electronic / Dance",RouteNote
Like I Do,Like I Do (Single),,,Andy ARYSH,Andy ARYSH,"Âu Mỹ, Pop, Rap / Hip Hop",FUGA
That’s So True,The Secret of Us (Deluxe),,,Gracie Abrams,,"Âu Mỹ, Pop",Universal Music Group
PS5,PS5 (Single),,,"salem ilese, TOMORROW X TOGETHER, Alan Walker","Alan Walker, Carl Hovind, Chloe Copoloff, Fredrik Borch Olsen, Gunnar Greve","Âu Mỹ, Pop",Universal Music Group
Anti-Hero,Midnights,,,Taylor Swift,,"Âu Mỹ, Pop",Universal Music Group
Inside Out,,,,keshi,,"Âu Mỹ, Pop",Universal Music Group
DRIP,DRIP,,,BABYMONSTER,"Airplay, Illjun, Sandra Wikström, G-Dragon",Hàn Quốc,YG PLUS
BILLIONAIRE,DRIP,,,BABYMONSTER,"CHOICE37, LP, Lauren Aquilina, Sandra Wikström, Al Pacino",Hàn Quốc,YG PLUS
Whiplash,Whiplash - The 5th Mini Album (EP),,,aespa,"Marcus “MarcLo” Lomax, Neil Ormandy, Rosina ""Soaky Siren"" Russell, Lewis Jankel","Hàn Quốc, Pop/Pop Ballad",FUGA
LIKE THAT,BABYMONS7ER,,,BABYMONSTER,"Charlie Puth, Jacob Kasher Hindlin",Hàn Quốc,YG PLUS
FLOWER,ME (Single),,,JISOO,"24, VVN, Kush","Hàn Quốc, Dance Pop",YG PLUS
SHEESH,BABYMONS7ER,,,BABYMONSTER,"CHOICE37, LP, YG, Al Pacino, Lil G",Hàn Quốc,YG PLUS
Pink Venom,Pink Venom (Single),,,BLACKPINK,"Teddy, 24, R Tee, iDo","Hàn Quốc, Rap / Hip Hop",YG PLUS
CLIK CLAK,DRIP,,,BABYMONSTER,"Ricky Luna, Rolando Luna, Keith Bykoff, Malaynah",Hàn Quốc,YG PLUS
Sudden Shower,"Lovely Runner, Pt. 1 (Original Soundtrack)",,,Eclipse,"한성호, 박수석, Moon Kim","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Magnetic,SUPER REAL ME (EP),,,ILLIT,"Slow Rabbit, “hitman” bang, Martin, salem ilese, Danke",Hàn Quốc,Ingrooves Music Group
Supernova,Armageddon - The 1st Album,,,aespa,"Kenzie, Paris Alexa, Dwayne “Dem Jointz” Abernathy Jr.","Hàn Quốc, Pop/Pop Ballad",Ingrooves Music Group
FOREVER,FOREVER (Single),,,BABYMONSTER,"CHOICE37, LP, BLVSH, Al Pacino, Lil G",Hàn Quốc,YG PLUS
Spring Snow,"Lovely Runner, Pt. 8 (Original Soundtrack) (EP)",,,10cm,Muii,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Really Like You,DRIP,,,BABYMONSTER,"Airplay, Ryan Bickley, Jonny Hockings, Freedo, Ends",Hàn Quốc,YG PLUS
Shut Down,BORN PINK,,,BLACKPINK,"Teddy, 24","Hàn Quốc, Rap / Hip Hop",YG PLUS
Drama,Drama - The 4th Mini Album (EP),,,aespa,,"Hàn Quốc, Pop/Pop Ballad",FUGA
New Jeans,NewJeans 'Super Shy' (EP),,,NewJeans,"Erika de Casier, Fine Glindvad Jensen, Jinsu Park, Frankie Scoca",Hàn Quốc,Ingrooves Music Group
Igloo,Lose Yourself,,,KISS OF LIFE,"Hiss noise, Arineh Karimi","Hàn Quốc, Rap / Hip Hop",Kakao Entertaiment
Typa Girl,BORN PINK,,,BLACKPINK,"Bekuh Boom, Dominsuk","Hàn Quốc, Pop/Pop Ballad",YG PLUS
You & Me,JENNIE Special Single [You & Me] (Single),,,JENNIE,"Teddy, 24, Vince",Hàn Quốc,YG PLUS
Woke Up In Tokyo (RUKA &…,DRIP,,,BABYMONSTER,"Ricky Luna, Rolando Luna, Kyler Niko, Wonderframe, Jonathan Keyes",Hàn Quốc,YG PLUS
Love In My Heart,DRIP,,,BABYMONSTER,"강욱진, Diggy, Jared Lee",Hàn Quốc,YG PLUS
UP (KARINA Solo),SYNK : PARALLEL LINE - Special Digital Single (EP),,,aespa,"Slow Rabbit, Morgan Connie Smith, Taneisha Jackson, Sofia Quinn, PXPILLON","Hàn Quốc, Pop/Pop Ballad",FUGA
See The Light,"When The Phone Rings, Pt. 1 (Original Soundtrack) (EP)",,,Lim Hyunsik,"AllThou, Suhyun Kim","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Ditto,NewJeans 'OMG' (EP),,,NewJeans,"Ylva Dimberg, 250",Hàn Quốc,Ingrooves Music Group
Seven (feat. Latto) (Explicit…,Seven (feat. Latto) (EP),,,"Jung Kook, Latto","Andrew Watt, Jon Bellion, Henry Walter, Theron Makiel Thomas, Latto",Hàn Quốc,Ingrooves Music Group
BATTER UP,BATTER UP (Single),,,BABYMONSTER,"Chaz Mishan, YG, DEE.P, Jared Lee, 아사(ASA)",Hàn Quốc,YG PLUS
Tally,BORN PINK,,,BLACKPINK,"Nat Dunn, David Phelan, Alex Oriet, Brian Lee, Soraya Lapread","Hàn Quốc, Pop/Pop Ballad",YG PLUS
Super Shy,NewJeans 'Super Shy' (EP),,,NewJeans,"Erika de Casier, Kristine Bogan, Frankie Scoca",Hàn Quốc,Ingrooves Music Group
All Eyes On Me,ME (Single),,,JISOO,"Teddy, R Tee, 24, VVN","Hàn Quốc, Dance Pop",YG PLUS
SPOT!,SPOT! (Single),,,"ZICO, JENNIE","ZICO, Eun Heeyoung, No Identity",Hàn Quốc,Ingrooves Music Group
Hard to Love,BORN PINK,,,BLACKPINK,"Freddy Wexler, Teddy, Bianca “Blush” Atterberry, Max Wolfgang, 24","Hàn Quốc, Pop/Pop Ballad",YG PLUS
LOVE DIVE,LOVE DIVE (Single),,,IVE,"Sophia Brennan, Elle Campbell, Nick Hahn","Hàn Quốc, Dance Pop",Kakao Entertainment
STRESS,Alivio,,,CHUNG HA,"Christian Fast, Jonna Hall, Sebastian Thott","Hàn Quốc, Dance Pop",Kakao Entertaiment
Armageddon,Armageddon - The 1st Album,,,aespa,"EJAE, Sumin, Waker, No Identity","Hàn Quốc, Pop/Pop Ballad",FUGA
Still Life,Still Life (Single),,,BIGBANG,"Kush, VVN, Vince, G-Dragon, T.O.P",Hàn Quốc,YG PLUS
"Love, Maybe",DRIP,,,BABYMONSTER,"Airplay, Sandra Wikström, Ends",Hàn Quốc,YG PLUS
MEOW,MEOW (Single),,,MEOVV,,"Hàn Quốc, Dance Pop",Ingrooves Music Group
ZOOM,ZOOM (Single),,,Jessi,"싸이 (PSY), 유건형, bayb","Hàn Quốc, Rap / Hip Hop",Kakao Entertainment
Tick-Tack,I'LL LIKE YOU (EP),,,ILLIT,"Sam Martin, Johnny Goldstein, “hitman” bang, divahh, 신쿵",Hàn Quốc,Ingrooves Music Group
PYTHON,WINTER HEPTAGON,,,GOT7,"BamBam, Kyle Reynolds, Nick Lee, Jason Fox, Samik ‘Symphony’ Ganguly","Hàn Quốc, Dance Pop",Kakao Entertaiment
TOMBOY,I NEVER DIE,,,(G)I-DLE,"Soyeon, Pop Time, JENCI",Hàn Quốc,Ingrooves Music Group
Smart,EASY (EP),,,LE SSERAFIM,"SCORE(13), Lee Eunhwa(153/Joombas), Teodor Herrgårdh, Hadar Adora, Charli",Hàn Quốc,Ingrooves Music Group
CRAZY,CRAZY (EP),,,LE SSERAFIM,"SCORE(13), Megatone(13), iluvjulia, Jake Torrey, “hitman”bang",Hàn Quốc,Ingrooves Music Group
Queencard,I feel (EP),,,(G)I-DLE,"Soyeon, Pop Time, Daily, Likey",Hàn Quốc,Ingrooves Music Group
Ready For Love,BORN PINK,,,BLACKPINK,"Teddy, VVN, 24, Kush, Bekuh Boom","Hàn Quốc, Pop/Pop Ballad",YG PLUS
OMG,NewJeans 'OMG' (EP),,,NewJeans,"Ylva Dimberg, Jinsu Park, David Dawood",Hàn Quốc,Ingrooves Music Group
HER,HER,,,MINNIE,"MINNIE, Tim Tan, CA$HCOW, BreadBeat, Shinkung",Hàn Quốc,Ingrooves Music Group
DREAM,BABYMONS7ER,,,BABYMONSTER,"Jared Lee, CHOICE37, Dan Whittemore, Al Pacino, Hae",Hàn Quốc,YG PLUS
Chk Chk Boom,ATE,,,Stray Kids,"Bang Chan (3RACHA), CHANGBIN (3RACHA), HAN (3RACHA), Dallas Koehlke, Ronnie Icon","Hàn Quốc, Rap / Hip Hop",Ingrooves Music Group
FOREVER,DRIP,,,BABYMONSTER,"CHOICE37, LP, BLVSH, Al Pacino, Lil G",Hàn Quốc,YG PLUS
MONSTERS (Intro),BABYMONS7ER,,,BABYMONSTER,"Atichanan Seesaywok, DEE.P, Jared Lee",Hàn Quốc,YG PLUS
Cherish (My Love),I'LL LIKE YOU (EP),,,ILLIT,"Deputy, AKAP, Andrew Jackson, Sarah ""Solly"" Solovay, Charli",Hàn Quốc,Ingrooves Music Group
BATTER UP (Remix) -…,DRIP,,,BABYMONSTER,"Chaz Mishan, YG, DEE.P, Jared Lee, 아사(ASA)",Hàn Quốc,YG PLUS
3D (feat. Jack Harlow),3D (feat. Jack Harlow) (EP),,,"Jung Kook, Jack Harlow","Bloodpop, David Stewart, Jack Harlow",Hàn Quốc,Ingrooves Music Group
BATTER UP (7 ver.),BABYMONS7ER,,,BABYMONSTER,"Chaz Mishan, YG, DEE.P, Jared Lee, 아사(ASA)",Hàn Quốc,YG PLUS
Season of Memories,Season of Memories (Single),,,GFRIEND,"Noh Ju Hwan, Shintaro Yasuda, Wonjounglee, Takayuki “Kojiro” Sasaki",Hàn Quốc,Ingrooves Music Group
Dash,Caligo Pt.1 (EP),,,PLAVE,"PLAVE, EL CAPITXN, Vendors(Zenur)",Hàn Quốc,YG PLUS
Nxde,I love (EP),,,(G)I-DLE,"Soyeon, Pop Time, KAKO",Hàn Quốc,Ingrooves Music Group
The Happiest Girl,BORN PINK,,,BLACKPINK,"Teddy Sinclair, Willy Sinclair, Paro, 24","Hàn Quốc, Pop/Pop Ballad",YG PLUS
Perfect Night,Perfect Night (Single),,,LE SSERAFIM,"SCORE(13), Megatone(13), Sofia Quinn, ""Hitman"" Bang, Amanda ""Kiddo A.I. Ibanez",Hàn Quốc,Ingrooves Music Group
Cupid Twin Ver. (Sped Up),Cupid Twin Ver. (Sped Up) (Single),,,Way 2 Fast,SIA HN,Hàn Quốc,RouteNote
You & Me (Coachella ver.),JENNIE Special Single [You & Me] (Single),,,JENNIE,"Teddy, 24, Vince",Hàn Quốc,YG PLUS
Hype Boy,NewJeans 1st EP 'New Jeans' (EP),,,NewJeans,"Ylva Dimberg, 250",Hàn Quốc,Ingrooves Music Group
Like A Dream,"Lovely Runner, Pt. 3 (Original Soundtrack) (EP)",,,MINNIE,정구현,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Fast Forward,GAME PLAN (EP),,,JEON SOMI,"Teddy, Vince, R Tee, Bekuh Boom",Hàn Quốc,YG PLUS
Yeah Yeah Yeah,BORN PINK,,,BLACKPINK,"Kush, R Tee, VVN, iDo","Hàn Quốc, Pop/Pop Ballad",YG PLUS
Stuck In The Middle,Stuck In The Middle (Single),,,BABYMONSTER,"DEE.P, Jared Lee, Dan Whittemore",Hàn Quốc,YG PLUS
Standing Next to You,GOLDEN,,,Jung Kook,"Andrew Watt, Henry Walter, Ali Tamposi, Jon Bellion",Hàn Quốc,Ingrooves Music Group
THE GIRLS (BLACKPINK…,THE GIRLS (BLACKPINK THE GAME OST) (Single),,,BLACKPINK,"Ryan Tedder, Michel 'Lindgren' Schulz, ROSÉ, 제니 (JENNIE), Melanie Fontana",Hàn Quốc,YG PLUS
TRUE,YOARI X MY DEMON (Single),,,Yoari,"Park, Seulgi(20Hz), 박슬기(20Hz)",Hàn Quốc,Kakao Entertainment
Attention,NewJeans 1st EP 'New Jeans' (EP),,,NewJeans,"Duckbay (Cosmos Studios Stockholm), 250",Hàn Quốc,Ingrooves Music Group
Numb,"When The Phone Rings, Pt. 2 (Original Soundtrack) (EP)",,,LIM YEON,"Maxx Song (BADX), Sam Carter (MonoTree), jisanpark (BADX), True Choi (BADX), TonKim","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Stuck In The Middle (7 ver.),BABYMONS7ER,,,BABYMONSTER,"DEE.P, Jared Lee, Dan Whittemore",Hàn Quốc,YG PLUS
Fate,2,,,(G)I-DLE,"Soyeon, Pop Time, Daily, Likey",Hàn Quốc,Ingrooves Music Group
When the Phone Rings,When The Phone Rings (Original Soundtrack),,,OH HEEJOON,OH HEEJOON,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Spicy,MY WORLD - The 3rd Mini Album (EP),,,aespa,,"Hàn Quốc, Pop/Pop Ballad",FUGA
No Doubt,ROMANCE : UNTOLD -daydream-,,,ENHYPEN,"Johnny Goldstein, Armadillo, Ranga, Theron Thomas, Kasey Phillips",Hàn Quốc,Ingrooves Music Group
Hurt,NewJeans 1st EP 'New Jeans' (EP),,,NewJeans,"Amanda Lundstedt, 250",Hàn Quốc,Ingrooves Music Group
How Sweet,How Sweet (EP),,,NewJeans,"Sarah Aarons, Stella Bennett, Tove Burman, 250, Elvira Anderfjärd",Hàn Quốc,Ingrooves Music Group
ETA,NewJeans 2nd EP 'Get Up' (EP),,,NewJeans,"Ylva Dimberg, 250",Hàn Quốc,Ingrooves Music Group
Spark (WINTER Solo),SYNK : PARALLEL LINE - Special Digital Single (EP),,,aespa,"Winter, R Tee, VACK, NOYEAH","Hàn Quốc, Pop/Pop Ballad",FUGA
Super,SEVENTEEN 10th Mini Album 'FML' (EP),,,SEVENTEEN,"WOOZI, Bumzu, August Rigo",Hàn Quốc,Ingrooves Music Group
Imaginary Friend,GOLD,,,ITZY,"Ryan Jhun, James Daniel Lewis, Sorana Pacurar","Hàn Quốc, Dance Pop",Ingrooves Music Group
Stuck In The Middle (Remix),BABYMONS7ER,,,BABYMONSTER,"DEE.P, Jared Lee, Dan Whittemore",Hàn Quốc,YG PLUS
May I Love You?,"When The Phone Rings, Pt. 4 (Original Soundtrack) (EP)",,,Jae Yeon,"Dinner Coat, 유정현","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Lucky Girl Syndrome,SUPER REAL ME (EP),,,ILLIT,"Stint, Alna Hofmeyr, Annika Bennett, Shinkung, Kim Bo Eun(Jamfactory)",Hàn Quốc,Ingrooves Music Group
Small girl (feat. D.O.),16 Fantasy (EP),,,"Lee Young Ji, D.O.","Peejay, Lee Young Ji, 이영지","Hàn Quốc, Rap / Hip Hop",Kakao Entertainment
EASY,EASY (EP),,,LE SSERAFIM,"Amanda “Kiddo A.I.” Ibanez, Sean Turk, SCORE(13), Megatone(13), ""HITMAN""BANG",Hàn Quốc,Ingrooves Music Group
Midas Touch,Midas Touch (Single),,,KISS OF LIFE,"strawberrybananaclub, ONDINE, Samson","Hàn Quốc, Dance Pop",Kakao Entertainment
Run BTS,Proof,,,BTS,"Dwayne Abernathy Jr., RM, Ebenezer, j-hope, GHSTLOOP",Hàn Quốc,Ingrooves Music Group
XO (Only If You Say Yes),ROMANCE : UNTOLD,,,ENHYPEN,"Armadillo, JVKE, ZVC, ""Hitman"" Bang, Danke",Hàn Quốc,Ingrooves Music Group
LALALALA,ROCK-STAR,,,Stray Kids,"Bang Chan (3RACHA), CHANGBIN (3RACHA), HAN (3RACHA), Versachoi, Kevin Gomringer","Hàn Quốc, Dance Pop",Ingrooves Music Group
ANTIFRAGILE,ANTIFRAGILE (EP),,,LE SSERAFIM,"SCORE(13), Megatone(13), Paulina “PAU” Cerrilla, “hitman” bang, Shintaro Yasuda",Hàn Quốc,Ingrooves Music Group
Who,MUSE,,,Jimin,"Jon Bellion, Pete Nappi, PDOGG, GHSTLOOP, Jason Cornet",Hàn Quốc,Ingrooves Music Group
도깨비불 Illusion,도깨비불 Illusion (Single),,,aespa,"G’harah “PK” Degeddingseze, Steve Octave, Patricia “Tricia” Battani","Hàn Quốc, Pop/Pop Ballad",FUGA
Chroma Drift,Caligo Pt.1 (EP),,,PLAVE,"PLAVE, SakaZan, Vendors(Abim), Vendors(Coll!n)",Hàn Quốc,YG PLUS
Sweet Dream (VIVINOS -…,Sweet Dream (VIVINOS - ALNST Original Soundtrack Part.2) (Single),,,C!naH,,"Hàn Quốc, Nhạc Phim",Genie Music
Wiege (VIVINOS - ALNST…,Wiege (VIVINOS - ALNST Original Soundtrack Part.9) (Single),,,"BL8M, 6FU;",Whisty,Hàn Quốc,FLUXUS INC.
The Way,GAME PLAN (EP),,,JEON SOMI,"Chloe George, Steph Jones, Sir Nolan, iDo",Hàn Quốc,YG PLUS
Exit Sign,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,,,HIEUTHUHAI,HIEUTHUHAI,"Việt Nam, Rap Việt",MMusic
Wrong Times,Wrong Times (Single),91K,5.4M,"Puppy, Dangrangto","Puppy, Dangrangto","Việt Nam, Rap Việt",DAO Music Entertainment
ĐỔI TƯ THẾ,ĐỔI TƯ THẾ (Single),44K,2.4M,"Bình Gold, Andree Right Hand","Bình Gold, Andree Right Hand","Việt Nam, Rap Việt",MIXUS
Ghệ Mới,Ghệ Mới (Single),8K,215K,"B Ray, Young H","B Ray, Young H","Việt Nam, Rap Việt",MIXUS
NOLOVENOLIFE,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,,,HIEUTHUHAI,HIEUTHUHAI,"Việt Nam, Rap Việt",MMusic
Vị Nhà,Vị Nhà (Single),22K,1M,Đen,Đen,"Việt Nam, Rap Việt",ZEE Media
NGỰA Ô,NGỰA Ô (Single),31K,2.5M,"Dangrangto, TeuYungBoy, DONAL","Tran Hai Dang, Nguyen Viet Anh","Việt Nam, Rap Việt",Believe
Chịu Cách Mình Nói Thua,Chịu Cách Mình Nói Thua (Single),158K,14.5M,"RHYDER, CoolKid, BAN","Nguyễn Quang Anh, Nguyễn Nhật Phát, Hoàng Lê Bảo Minh","Việt Nam, Rap Việt",Believe
Love Is,Love Is (Single),27K,1M,Dangrangto,Dangrangto,"Việt Nam, Rap Việt",DAO Music Entertainment
À Lôi,À Lôi (Single),810K,39.4M,"Double2T, Masew",Double2T,"Việt Nam, Rap Việt",VIEENT Music
Miên Man,Miên Man (Single),173K,11.8M,Minh Huy,Minh Huy,"Việt Nam, Rap Việt",LOOPS Music
Nói Dối,,66K,4.1M,Ronboogz,Ronboogz,"Việt Nam, Rap Việt",DAO Music Entertainment
Không Phải Gu,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,,,HIEUTHUHAI,HIEUTHUHAI,"Việt Nam, Rap Việt",MMusic
Vệ Tinh,Vệ Tinh (Single),315K,16M,"HIEUTHUHAI, Hoàng Tôn, Kewtiie","HIEUTHUHAI, Hoàng Tôn","Việt Nam, Rap Việt",MMusic
Em Không Khóc,Em Không Khóc (Single),157K,9.5M,"buitruonglinh, Vũ Phụng Tiên",,"Việt Nam, Rap Việt",Yin Yang Media
Cho Ba,Cho Ba (Single),11K,531K,B Ray,B Ray,"Việt Nam, Rap Việt",MIXUS
Hai đứa nhóc,,54K,3M,Ronboogz,Ronboogz,"Việt Nam, Rap Việt",DAO Music Entertainment
Khi Mà,,110K,6.3M,Ronboogz,Ronboogz,"Việt Nam, Rap Việt",DAO Music Entertainment
Mamma Mia,Mamma Mia (Single),171K,8.9M,"HIEUTHUHAI, HURRYKNG, MANBO, Negav, REX","HIEUTHUHAI, HURRYKNG, MANBO, Negav, REX","Việt Nam, Rap Việt",Gerdnang
Anh Chỉ Muốn,Anh Chỉ Muốn (Single),47K,2.6M,Ronboogz,Ronboogz,"Việt Nam, Rap Việt",DAO Music Entertainment
FuDo Milan,FuDo Milan (Single),26K,1.3M,LiL Van,LiL Van,"Việt Nam, Rap Việt",MIXUS
Chơi Như Tụi Mỹ,Chơi Như Tụi Mỹ (Single),90K,10.2M,Andree Right Hand,WOKEUP,"Việt Nam, Rap Việt",Believe
Hồng không gai,TO LOVE AND BE LOVED,9K,323K,"Winno, SpideyBoy","Winno, SpideyBoy","Việt Nam, Rap Việt",Yin Yang Media
TRÌNH,TRÌNH (Single),27K,1.4M,HIEUTHUHAI,Trần Minh Hiếu,"Việt Nam, Rap Việt",Ingrooves Music Group
Thiêu Thân,Thiêu Thân (Single),274K,18.2M,"B Ray, Sofia","Châu Đăng Khoa, B Ray","Rap Việt, Việt Nam",Great Entertainment
yêu anh đi mẹ anh bán…,yêu anh đi mẹ anh bán bánh mì (EP),304K,17.6M,Phúc Du,Phúc Du,"Việt Nam, Rap Việt",LOOPS Music
Muốn Quên Được Em,Muốn Quên Được Em (Single),172K,12.2M,Freaky,Freaky,"Việt Nam, Rap Việt",LOOPS Music
Say Đắm Trong Lần Đầu…,Say Đắm Trong Lần Đầu (Remix) (Single),98K,6.6M,"JBee, Winno, NamB","JBee, Winno","Việt Nam, Rap Việt",MIXUS
Cho Em An Toàn,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,,,HIEUTHUHAI,HIEUTHUHAI,"Việt Nam, Rap Việt",MMusic
Bản Lo-Fi Audio Số 1,Bản Lo-Fi Audio Số 1 (Single),15K,1M,Kidz,Kidz,"Rap Việt, Việt Nam",MIXUS
Anh Luôn Như Vậy,Anh Luôn Như Vậy (Single),116K,7.4M,B Ray,B Ray,"Việt Nam, Rap Việt",MIXUS
Dân Chơi Sao Phải Khóc,Dân Chơi Sao Phải Khóc (Single),43K,5.7M,"Andree Right Hand, RHYDER, WOKEUP","Bùi Thế Anh, Nguyễn Quang Anh, Nguyễn Hoàng Phúc","Việt Nam, Rap Việt",Believe
Lý Do Nào Để Quay Lại Với…,Lý Do Nào Để Quay Lại Với Nhau (Single),41K,3.2M,"Par SG, New$oulZ","Par SG, New$oulZ","Việt Nam, Rap Việt",DAO Music Entertainment
2GOILAYS,2GOILAYS (Single),1K,87K,"DMT, Dangrangto, TeuYungBoy, DONAL","Ngô Minh Quốc Khánh, Trần Hải Đăng, Nguyen Viet Anh","Việt Nam, Rap Việt",Believe
Ngõ Chạm,Ngõ Chạm (Single),159K,9.2M,"BigDaddy, Emily","BigDaddy, VSTRA","Việt Nam, Rap Việt",LOOPS Music
Vì Chúng Ta Là Con Người,Vì Chúng Ta Là Con Người (Single),30K,1.6M,"Ronboogz, Winno, Hustlang HBo","Ronboogz, Winno, Hustlang HBo","Việt Nam, Rap Việt",DAO Music Entertainment
Kìa Bóng Dáng Ai,Kìa Bóng Dáng Ai (Single),350K,19.4M,"Pháo, Sterry",Pháo,"Việt Nam, Rap Việt",MIXUS
Đủ Trải Sẽ Thấm,Đủ Trải Sẽ Thấm (Single),191K,10.3M,"Mikelodic, Chiennhatlang","Mikelodic, Chiennhatlang","Việt Nam, Rap Việt",LOOPS Music
Một Ngày Chẳng Nắng,Một Ngày Chẳng Nắng (Single),291K,15M,Pháo,Pháo,"Việt Nam, Rap Việt",MIXUS
Last Night 2,SHOW ME THE HAZEL,2K,207K,Hazel,Hazel,"Việt Nam, Rap Việt",DAO Music Entertainment
Tim Anh Ghen,THE WXRDIES,,,"Wxrdie, Dangrangto, TeuYungBoy, LVK","Pham Nam Hai, Trần Hải Đăng, Nguyen Viet Anh, La Vỹ Kiệt, Dương Nguyễn","Việt Nam, Rap Việt",Universal Music Group
Everything Will Be Okay,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,,,HIEUTHUHAI,HIEUTHUHAI,"Việt Nam, Rap Việt",MMusic
MOIEM,MOIEM (Single),3K,322K,"Dangrangto, DONAL",Trần Hải Đăng,"Việt Nam, Rap Việt",Believe
Vinflow,420ent.,35K,2.1M,"Wxrdie, WOKEUP, 2Pillz",Wxrdie,"Việt Nam, Rap Việt",LOOPS Music
WESTSIDE SQUAD,WESTSIDE SQUAD (Single),46K,2.4M,"Jombie, Dế Choắt, EndLess",Nguyễn Cường Thịnh,"Việt Nam, Rap Việt",VIEENT Music
